time,position_um,velocity_um_s,shear_rate,y_normalized
0.000,28.000000,5.333333e-01,1.714286,0.200000
0.100,28.053221,5.310872e-01,1.712113,0.200380
0.200,28.106218,5.288637e-01,1.709950,0.200759
0.300,28.158994,5.266623e-01,1.707796,0.201136
0.400,28.211551,5.244828e-01,1.705651,0.201511
0.500,28.263892,5.223247e-01,1.703515,0.201885
0.600,28.316017,5.201877e-01,1.701387,0.202257
0.700,28.367930,5.180715e-01,1.699268,0.202628
0.800,28.419632,5.159758e-01,1.697158,0.202997
0.900,28.471126,5.139001e-01,1.695056,0.203365
1.000,28.522413,5.118443e-01,1.692963,0.203732
1.100,28.573495,5.098079e-01,1.690878,0.204096
1.200,28.624375,5.077908e-01,1.688801,0.204460
1.300,28.675054,5.057925e-01,1.686732,0.204822
1.400,28.725534,5.038128e-01,1.684672,0.205182
1.500,28.775817,5.018514e-01,1.682620,0.205542
1.600,28.825905,4.999081e-01,1.680575,0.205899
1.700,28.875799,4.979825e-01,1.678539,0.206256
1.800,28.925502,4.960744e-01,1.676510,0.206611
1.900,28.975015,4.941835e-01,1.674489,0.206964
2.000,29.024339,4.923096e-01,1.672476,0.207317
2.100,29.073477,4.904525e-01,1.670470,0.207668
2.200,29.122430,4.886118e-01,1.668472,0.208017
2.300,29.171200,4.867873e-01,1.666482,0.208366
2.400,29.219788,4.849789e-01,1.664498,0.208713
2.500,29.268196,4.831862e-01,1.662523,0.209059
2.600,29.316426,4.814091e-01,1.660554,0.209403
2.700,29.364479,4.796473e-01,1.658593,0.209746
2.800,29.412356,4.779006e-01,1.656639,0.210088
2.900,29.460059,4.761687e-01,1.654691,0.210429
3.000,29.507590,4.744516e-01,1.652751,0.210769
3.100,29.554950,4.727490e-01,1.650818,0.211107
3.200,29.602141,4.710606e-01,1.648892,0.211444
3.300,29.649163,4.693863e-01,1.646973,0.211780
3.400,29.696018,4.677259e-01,1.645060,0.212114
3.500,29.742708,4.660792e-01,1.643155,0.212448
3.600,29.789235,4.644461e-01,1.641256,0.212780
3.700,29.835598,4.628262e-01,1.639363,0.213111
3.800,29.881800,4.612195e-01,1.637478,0.213441
3.900,29.927842,4.596258e-01,1.635598,0.213770
4.000,29.973726,4.580449e-01,1.633725,0.214098
4.100,30.019452,4.564766e-01,1.631859,0.214425
4.200,30.065022,4.549208e-01,1.629999,0.214750
4.300,30.110436,4.533773e-01,1.628145,0.215075
4.400,30.155697,4.518459e-01,1.626298,0.215398
4.500,30.200806,4.503265e-01,1.624457,0.215720
4.600,30.245763,4.488190e-01,1.622622,0.216041
4.700,30.290570,4.473231e-01,1.620793,0.216361
4.800,30.335228,4.458388e-01,1.618970,0.216680
4.900,30.379738,4.443659e-01,1.617154,0.216998
5.000,30.424102,4.429042e-01,1.615343,0.217315
5.100,30.468319,4.414536e-01,1.613538,0.217631
5.200,30.512393,4.400139e-01,1.611739,0.217946
5.300,30.556323,4.385851e-01,1.609946,0.218259
5.400,30.600110,4.371670e-01,1.608159,0.218572
5.500,30.643756,4.357595e-01,1.606377,0.218884
5.600,30.687262,4.343624e-01,1.604602,0.219195
5.700,30.730629,4.329756e-01,1.602831,0.219504
5.800,30.773858,4.315990e-01,1.601067,0.219813
5.900,30.816949,4.302324e-01,1.599308,0.220121
6.000,30.859905,4.288758e-01,1.597555,0.220428
6.100,30.902725,4.275290e-01,1.595807,0.220734
6.200,30.945411,4.261918e-01,1.594065,0.221039
6.300,30.987964,4.248643e-01,1.592328,0.221343
6.400,31.030384,4.235463e-01,1.590597,0.221646
6.500,31.072673,4.222376e-01,1.588870,0.221948
6.600,31.114832,4.209382e-01,1.587150,0.222249
6.700,31.156861,4.196479e-01,1.585434,0.222549
6.800,31.198762,4.183666e-01,1.583724,0.222848
6.900,31.240535,4.170943e-01,1.582019,0.223147
7.000,31.282181,4.158308e-01,1.580319,0.223444
7.100,31.323701,4.145761e-01,1.578624,0.223741
7.200,31.365096,4.133300e-01,1.576935,0.224036
7.300,31.406367,4.120924e-01,1.575250,0.224331
7.400,31.447515,4.108633e-01,1.573571,0.224625
7.500,31.488540,4.096425e-01,1.571896,0.224918
7.600,31.529444,4.084300e-01,1.570227,0.225210
7.700,31.570227,4.072256e-01,1.568562,0.225502
7.800,31.610889,4.060293e-01,1.566902,0.225792
7.900,31.651433,4.048410e-01,1.565248,0.226082
8.000,31.691858,4.036605e-01,1.563598,0.226370
8.100,31.732165,4.024879e-01,1.561952,0.226658
