position_um,nu_0.95,nu_0.90,nu_0.85,nu_0.80,nu_0.75
20.000,1.721939e+00,1.913265e+00,2.104592e+00,2.295918e+00,2.487245e+00
30.000,6.887755e-01,7.653061e-01,8.418367e-01,9.183673e-01,9.948980e-01
40.000,3.443878e-01,3.826531e-01,4.209184e-01,4.591837e-01,4.974490e-01
50.000,1.721939e-01,1.913265e-01,2.104592e-01,2.295918e-01,2.487245e-01
60.000,6.887755e-02,7.653061e-02,8.418367e-02,9.183673e-02,9.948980e-02
70.000,-8.921435e-17,-9.912706e-17,-1.090398e-16,-1.189525e-16,-1.288652e-16
80.000,-6.887755e-02,-7.653061e-02,-8.418367e-02,-9.183673e-02,-9.948980e-02
90.000,-1.721939e-01,-1.913265e-01,-2.104592e-01,-2.295918e-01,-2.487245e-01
100.000,-3.443878e-01,-3.826531e-01,-4.209184e-01,-4.591837e-01,-4.974490e-01
110.000,-6.887755e-01,-7.653061e-01,-8.418367e-01,-9.183673e-01,-9.948980e-01
