position_um,nu_0.95,nu_0.90,nu_0.85,nu_0.80,nu_0.75
20.000,3.443878e+00,3.826531e+00,4.209184e+00,4.591837e+00,4.974490e+00
30.000,1.377551e+00,1.530612e+00,1.683673e+00,1.836735e+00,1.989796e+00
40.000,6.887755e-01,7.653061e-01,8.418367e-01,9.183673e-01,9.948980e-01
50.000,3.443878e-01,3.826531e-01,4.209184e-01,4.591837e-01,4.974490e-01
60.000,1.377551e-01,1.530612e-01,1.683673e-01,1.836735e-01,1.989796e-01
70.000,-1.784287e-16,-1.982541e-16,-2.180795e-16,-2.379049e-16,-2.577303e-16
80.000,-9.839650e-02,-1.093294e-01,-1.202624e-01,-1.311953e-01,-1.421283e-01
90.000,-1.721939e-01,-1.913265e-01,-2.104592e-01,-2.295918e-01,-2.487245e-01
100.000,-2.295918e-01,-2.551020e-01,-2.806122e-01,-3.061224e-01,-3.316327e-01
110.000,-2.755102e-01,-3.061224e-01,-3.367347e-01,-3.673469e-01,-3.979592e-01
