time,position_um,velocity_um_s,shear_rate,y_normalized
0.000,28.000000,1.607143e+00,1.714286,0.200000
0.100,28.159800,1.586940e+00,1.707763,0.201141
0.200,28.317607,1.567334e+00,1.701322,0.202269
0.300,28.473479,1.548298e+00,1.694960,0.203382
0.400,28.627472,1.529804e+00,1.688675,0.204482
0.500,28.779640,1.511827e+00,1.682464,0.205569
0.600,28.930032,1.494344e+00,1.676325,0.206643
0.700,29.078697,1.477333e+00,1.670257,0.207705
0.800,29.225681,1.460773e+00,1.664258,0.208755
0.900,29.371029,1.444644e+00,1.658325,0.209793
1.000,29.514783,1.428928e+00,1.652458,0.210820
1.100,29.656983,1.413609e+00,1.646654,0.211836
1.200,29.797669,1.398669e+00,1.640911,0.212840
1.300,29.936877,1.384093e+00,1.635230,0.213835
1.400,30.074643,1.369868e+00,1.629606,0.214819
1.500,30.211002,1.355979e+00,1.624041,0.215793
1.600,30.345987,1.342413e+00,1.618531,0.216757
1.700,30.479629,1.329158e+00,1.613076,0.217712
1.800,30.611960,1.316203e+00,1.607675,0.218657
1.900,30.743008,1.303536e+00,1.602326,0.219593
2.000,30.872802,1.291147e+00,1.597029,0.220520
2.100,31.001369,1.279026e+00,1.591781,0.221438
2.200,31.128735,1.267164e+00,1.586582,0.222348
2.300,31.254927,1.255552e+00,1.581432,0.223249
2.400,31.379969,1.244180e+00,1.576328,0.224143
2.500,31.503884,1.233042e+00,1.571270,0.225028
2.600,31.626695,1.222128e+00,1.566257,0.225905
2.700,31.748425,1.211433e+00,1.561289,0.226774
2.800,31.869094,1.200947e+00,1.556363,0.227636
2.900,31.988725,1.190666e+00,1.551481,0.228491
3.000,32.107336,1.180583e+00,1.546639,0.229338
3.100,32.224948,1.170690e+00,1.541839,0.230178
3.200,32.341578,1.160983e+00,1.537078,0.231011
3.300,32.457246,1.151456e+00,1.532357,0.231837
3.400,32.571970,1.142103e+00,1.527675,0.232657
3.500,32.685765,1.132919e+00,1.523030,0.233470
3.600,32.798650,1.123899e+00,1.518422,0.234276
3.700,32.910640,1.115038e+00,1.513851,0.235076
3.800,33.021751,1.106333e+00,1.509316,0.235870
3.900,33.131998,1.097777e+00,1.504816,0.236657
4.000,33.241396,1.089368e+00,1.500351,0.237439
4.100,33.349959,1.081100e+00,1.495920,0.238214
4.200,33.457703,1.072971e+00,1.491522,0.238984
4.300,33.564639,1.064976e+00,1.487158,0.239747
4.400,33.670781,1.057112e+00,1.482825,0.240506
4.500,33.776144,1.049376e+00,1.478525,0.241258
4.600,33.880737,1.041763e+00,1.474256,0.242005
4.700,33.984576,1.034271e+00,1.470017,0.242747
4.800,34.087670,1.026896e+00,1.465809,0.243483
4.900,34.190032,1.019636e+00,1.461631,0.244215
5.000,34.291673,1.012488e+00,1.457483,0.244941
5.100,34.392604,1.005448e+00,1.453363,0.245661
5.200,34.492836,9.985150e-01,1.449272,0.246377
5.300,34.592379,9.916853e-01,1.445209,0.247088
5.400,34.691244,9.849567e-01,1.441174,0.247795
5.500,34.789441,9.783267e-01,1.437166,0.248496
5.600,34.886979,9.717929e-01,1.433185,0.249193
5.700,34.983867,9.653531e-01,1.429230,0.249885
5.800,35.080116,9.590052e-01,1.425301,0.250572
5.900,35.175734,9.527468e-01,1.421399,0.251255
6.000,35.270731,9.465761e-01,1.417521,0.251934
6.100,35.365114,9.404910e-01,1.413669,0.252608
6.200,35.458892,9.344896e-01,1.409841,0.253278
6.300,35.552074,9.285699e-01,1.406038,0.253943
6.400,35.644668,9.227303e-01,1.402258,0.254605
6.500,35.736681,9.169689e-01,1.398503,0.255262
6.600,35.828121,9.112840e-01,1.394771,0.255915
6.700,35.918996,9.056740e-01,1.391061,0.256564
6.800,36.009314,9.001372e-01,1.387375,0.257209
6.900,36.099081,8.946722e-01,1.383711,0.257851
7.000,36.188305,8.892774e-01,1.380069,0.258488
7.100,36.276993,8.839513e-01,1.376449,0.259121
7.200,36.365151,8.786925e-01,1.372851,0.259751
7.300,36.452786,8.734997e-01,1.369274,0.260377
7.400,36.539904,8.683714e-01,1.365718,0.260999
7.500,36.626513,8.633065e-01,1.362183,0.261618
7.600,36.712618,8.583035e-01,1.358669,0.262233
7.700,36.798226,8.533613e-01,1.355174,0.262844
7.800,36.883341,8.484787e-01,1.351700,0.263452
7.900,36.967972,8.436546e-01,1.348246,0.264057
8.000,37.052122,8.388877e-01,1.344811,0.264658
8.100,37.135799,8.341769e-01,1.341396,0.265256
8.200,37.219006,8.295213e-01,1.338000,0.265850
8.300,37.301751,8.249197e-01,1.334622,0.266441
8.400,37.384038,8.203712e-01,1.331264,0.267029
8.500,37.465872,8.158747e-01,1.327924,0.267613
8.600,37.547259,8.114293e-01,1.324602,0.268195
8.700,37.628204,8.070340e-01,1.321298,0.268773
8.800,37.708711,8.026880e-01,1.318012,0.269348
8.900,37.788786,7.983902e-01,1.314743,0.269920
9.000,37.868434,7.941399e-01,1.311493,0.270489
9.100,37.947658,7.899362e-01,1.308259,0.271055
9.200,38.026464,7.857783e-01,1.305042,0.271618
9.300,38.104857,7.816654e-01,1.301843,0.272178
9.400,38.182840,7.775966e-01,1.298660,0.272735
9.500,38.260418,7.735713e-01,1.295493,0.273289
9.600,38.337595,7.695885e-01,1.292343,0.273840
9.700,38.414377,7.656478e-01,1.289209,0.274388
9.800,38.490766,7.617482e-01,1.286091,0.274934
9.900,38.566766,7.578891e-01,1.282989,0.275477
10.000,38.642383,7.540699e-01,1.279903,0.276017
10.100,38.717620,7.502898e-01,1.276832,0.276554
10.200,38.792480,7.465482e-01,1.273776,0.277089
10.300,38.866968,7.428446e-01,1.270736,0.277621
10.400,38.941087,7.391781e-01,1.267711,0.278151
10.500,39.014841,7.355484e-01,1.264700,0.278677
10.600,39.088234,7.319546e-01,1.261705,0.279202
10.700,39.161269,7.283964e-01,1.258724,0.279723
10.800,39.233950,7.248730e-01,1.255757,0.280242
10.900,39.306280,7.213840e-01,1.252805,0.280759
11.000,39.378263,7.179289e-01,1.249867,0.281273
11.100,39.449901,7.145070e-01,1.246943,0.281785
11.200,39.521199,7.111179e-01,1.244033,0.282294
11.300,39.592160,7.077610e-01,1.241136,0.282801
11.400,39.662786,7.044359e-01,1.238254,0.283306
11.500,39.733081,7.011420e-01,1.235384,0.283808
11.600,39.803048,6.978790e-01,1.232529,0.284307
11.700,39.872690,6.946463e-01,1.229686,0.284805
11.800,39.942010,6.914435e-01,1.226857,0.285300
11.900,40.011012,6.882701e-01,1.224040,0.285793
12.000,40.079697,6.851257e-01,1.221237,0.286284
12.100,40.148069,6.820098e-01,1.218446,0.286772
12.200,40.216131,6.789221e-01,1.215668,0.287258
12.300,40.283885,6.758622e-01,1.212903,0.287742
12.400,40.351335,6.728295e-01,1.210150,0.288224
12.500,40.418482,6.698239e-01,1.207409,0.288703
12.600,40.485330,6.668447e-01,1.204680,0.289181
12.700,40.551882,6.638918e-01,1.201964,0.289656
12.800,40.618139,6.609646e-01,1.199260,0.290130
12.900,40.684105,6.580629e-01,1.196567,0.290601
13.000,40.749781,6.551863e-01,1.193886,0.291070
13.100,40.815171,6.523344e-01,1.191217,0.291537
13.200,40.880277,6.495069e-01,1.188560,0.292002
13.300,40.945102,6.467034e-01,1.185914,0.292465
13.400,41.009647,6.439237e-01,1.183280,0.292926
13.500,41.073915,6.411673e-01,1.180657,0.293385
13.600,41.137908,6.384341e-01,1.178045,0.293842
13.700,41.201630,6.357236e-01,1.175444,0.294297
13.800,41.265081,6.330356e-01,1.172854,0.294751
13.900,41.328264,6.303697e-01,1.170275,0.295202
14.000,41.391182,6.277257e-01,1.167707,0.295651
14.100,41.453836,6.251033e-01,1.165150,0.296099
14.200,41.516230,6.225022e-01,1.162603,0.296544
14.300,41.578364,6.199222e-01,1.160067,0.296988
14.400,41.640240,6.173628e-01,1.157541,0.297430
14.500,41.701862,6.148240e-01,1.155026,0.297870
14.600,41.763231,6.123053e-01,1.152521,0.298309
14.700,41.824349,6.098066e-01,1.150027,0.298745
14.800,41.885218,6.073276e-01,1.147542,0.299180
14.900,41.945840,6.048681e-01,1.145068,0.299613
15.000,42.006217,6.024277e-01,1.142603,0.300044
15.100,42.066350,6.000063e-01,1.140149,0.300474
15.200,42.126243,5.976037e-01,1.137704,0.300902
15.300,42.185896,5.952195e-01,1.135270,0.301328
15.400,42.245311,5.928536e-01,1.132844,0.301752
15.500,42.304491,5.905058e-01,1.130429,0.302175
15.600,42.363436,5.881757e-01,1.128023,0.302596
15.700,42.422150,5.858633e-01,1.125627,0.303015
15.800,42.480632,5.835683e-01,1.123239,0.303433
15.900,42.538887,5.812904e-01,1.120862,0.303849
16.000,42.596914,5.790295e-01,1.118493,0.304264
16.100,42.654716,5.767854e-01,1.116134,0.304677
16.200,42.712294,5.745578e-01,1.113784,0.305088
16.300,42.769650,5.723466e-01,1.111443,0.305497
16.400,42.826786,5.701516e-01,1.109111,0.305906
16.500,42.883703,5.679726e-01,1.106788,0.306312
