time,position_um,velocity_um_s,shear_rate,y_normalized
0.000,28.000000,8.510670e-01,10.000000,0.200000
0.100,28.084849,8.459323e-01,10.000000,0.200606
0.200,28.169189,8.408744e-01,10.000000,0.201208
0.300,28.253027,8.358914e-01,10.000000,0.201807
0.400,28.336370,8.309816e-01,10.000000,0.202403
0.500,28.419225,8.261432e-01,10.000000,0.202994
0.600,28.501601,8.213747e-01,10.000000,0.203583
0.700,28.583503,8.166744e-01,10.000000,0.204168
0.800,28.664938,8.120407e-01,10.000000,0.204750
0.900,28.745913,8.074722e-01,10.000000,0.205328
1.000,28.826434,8.029675e-01,10.000000,0.205903
1.100,28.906508,7.985250e-01,10.000000,0.206475
1.200,28.986141,7.941435e-01,10.000000,0.207044
1.300,29.065339,7.898216e-01,10.000000,0.207610
1.400,29.144108,7.855580e-01,10.000000,0.208172
1.500,29.222453,7.813516e-01,10.000000,0.208732
1.600,29.300380,7.772009e-01,10.000000,0.209288
1.700,29.377895,7.731050e-01,10.000000,0.209842
1.800,29.455003,7.690626e-01,10.000000,0.210393
1.900,29.531709,7.650726e-01,10.000000,0.210941
2.000,29.608019,7.611340e-01,10.000000,0.211486
2.100,29.683937,7.572457e-01,10.000000,0.212028
2.200,29.759470,7.534066e-01,10.000000,0.212568
2.300,29.834620,7.496159e-01,10.000000,0.213104
2.400,29.909394,7.458725e-01,10.000000,0.213639
2.500,29.983796,7.421754e-01,10.000000,0.214170
2.600,30.057831,7.385239e-01,10.000000,0.214699
2.700,30.131503,7.349169e-01,10.000000,0.215225
2.800,30.204816,7.313536e-01,10.000000,0.215749
2.900,30.277775,7.278333e-01,10.000000,0.216270
3.000,30.350384,7.243549e-01,10.000000,0.216788
3.100,30.422647,7.209179e-01,10.000000,0.217305
3.200,30.494569,7.175213e-01,10.000000,0.217818
3.300,30.566153,7.141645e-01,10.000000,0.218330
3.400,30.637403,7.108466e-01,10.000000,0.218839
3.500,30.708323,7.075670e-01,10.000000,0.219345
3.600,30.778918,7.043250e-01,10.000000,0.219849
3.700,30.849190,7.011199e-01,10.000000,0.220351
3.800,30.919143,6.979510e-01,10.000000,0.220851
3.900,30.988781,6.948176e-01,10.000000,0.221348
4.000,31.058108,6.917192e-01,10.000000,0.221844
4.100,31.127126,6.886551e-01,10.000000,0.222337
4.200,31.195840,6.856247e-01,10.000000,0.222827
4.300,31.264252,6.826274e-01,10.000000,0.223316
4.400,31.332366,6.796627e-01,10.000000,0.223803
4.500,31.400186,6.767299e-01,10.000000,0.224287
4.600,31.467713,6.738286e-01,10.000000,0.224769
4.700,31.534952,6.709582e-01,10.000000,0.225250
4.800,31.601906,6.681181e-01,10.000000,0.225728
4.900,31.668577,6.653079e-01,10.000000,0.226204
5.000,31.734968,6.625271e-01,10.000000,0.226678
5.100,31.801083,6.597752e-01,10.000000,0.227151
5.200,31.866924,6.570516e-01,10.000000,0.227621
5.300,31.932495,6.543560e-01,10.000000,0.228089
5.400,31.997797,6.516879e-01,10.000000,0.228556
5.500,32.062833,6.490468e-01,10.000000,0.229020
5.600,32.127607,6.464323e-01,10.000000,0.229483
5.700,32.192120,6.438440e-01,10.000000,0.229944
5.800,32.256376,6.412814e-01,10.000000,0.230403
5.900,32.320378,6.387442e-01,10.000000,0.230860
6.000,32.384126,6.362319e-01,10.000000,0.231315
6.100,32.447625,6.337442e-01,10.000000,0.231769
6.200,32.510876,6.312806e-01,10.000000,0.232221
