time,position_um,velocity_um_s,shear_rate,y_normalized
0.000,28.000000,8.498954e-01,10.000000,0.200000
0.100,28.084733,8.447748e-01,10.000000,0.200605
0.200,28.168958,8.397307e-01,10.000000,0.201207
0.300,28.252681,8.347611e-01,10.000000,0.201805
0.400,28.335912,8.298645e-01,10.000000,0.202399
0.500,28.418657,8.250390e-01,10.000000,0.202990
0.600,28.500922,8.202830e-01,10.000000,0.203578
0.700,28.582716,8.155950e-01,10.000000,0.204162
0.800,28.664044,8.109735e-01,10.000000,0.204743
0.900,28.744912,8.064168e-01,10.000000,0.205321
1.000,28.825329,8.019236e-01,10.000000,0.205895
1.100,28.905299,7.974925e-01,10.000000,0.206466
1.200,28.984830,7.931221e-01,10.000000,0.207034
1.300,29.063926,7.888111e-01,10.000000,0.207599
1.400,29.142594,7.845582e-01,10.000000,0.208161
1.500,29.220839,7.803621e-01,10.000000,0.208720
1.600,29.298668,7.762217e-01,10.000000,0.209276
1.700,29.376085,7.721358e-01,10.000000,0.209829
1.800,29.453097,7.681033e-01,10.000000,0.210379
1.900,29.529708,7.641230e-01,10.000000,0.210926
2.000,29.605923,7.601938e-01,10.000000,0.211471
2.100,29.681748,7.563148e-01,10.000000,0.212012
2.200,29.757188,7.524849e-01,10.000000,0.212551
2.300,29.832247,7.487031e-01,10.000000,0.213087
2.400,29.906930,7.449685e-01,10.000000,0.213621
2.500,29.981242,7.412801e-01,10.000000,0.214152
2.600,30.055188,7.376370e-01,10.000000,0.214680
2.700,30.128771,7.340383e-01,10.000000,0.215206
2.800,30.201997,7.304832e-01,10.000000,0.215729
2.900,30.274869,7.269709e-01,10.000000,0.216249
3.000,30.347392,7.235004e-01,10.000000,0.216767
3.100,30.419570,7.200711e-01,10.000000,0.217283
3.200,30.491408,7.166822e-01,10.000000,0.217796
3.300,30.562908,7.133328e-01,10.000000,0.218306
3.400,30.634076,7.100223e-01,10.000000,0.218815
3.500,30.704914,7.067500e-01,10.000000,0.219321
3.600,30.775427,7.035150e-01,10.000000,0.219824
3.700,30.845618,7.003169e-01,10.000000,0.220326
3.800,30.915491,6.971548e-01,10.000000,0.220825
3.900,30.985050,6.940282e-01,10.000000,0.221322
4.000,31.054298,6.909365e-01,10.000000,0.221816
4.100,31.123239,6.878789e-01,10.000000,0.222309
4.200,31.191875,6.848549e-01,10.000000,0.222799
4.300,31.260211,6.818640e-01,10.000000,0.223287
4.400,31.328249,6.789055e-01,10.000000,0.223773
4.500,31.395993,6.759789e-01,10.000000,0.224257
4.600,31.463446,6.730836e-01,10.000000,0.224739
4.700,31.530611,6.702191e-01,10.000000,0.225219
4.800,31.597491,6.673849e-01,10.000000,0.225696
4.900,31.664089,6.645805e-01,10.000000,0.226172
5.000,31.730408,6.618053e-01,10.000000,0.226646
5.100,31.796451,6.590590e-01,10.000000,0.227118
5.200,31.862220,6.563409e-01,10.000000,0.227587
5.300,31.927720,6.536507e-01,10.000000,0.228055
5.400,31.992952,6.509879e-01,10.000000,0.228521
5.500,32.057918,6.483521e-01,10.000000,0.228985
5.600,32.122623,6.457428e-01,10.000000,0.229447
5.700,32.187068,6.431596e-01,10.000000,0.229908
5.800,32.251256,6.406020e-01,10.000000,0.230366
5.900,32.315189,6.380698e-01,10.000000,0.230823
6.000,32.378870,6.355624e-01,10.000000,0.231278
6.100,32.442302,6.330795e-01,10.000000,0.231731
6.200,32.505487,6.306207e-01,10.000000,0.232182
6.300,32.568427,6.281856e-01,10.000000,0.232632
6.400,32.631125,6.257739e-01,10.000000,0.233079
6.500,32.693583,6.233853e-01,10.000000,0.233526
6.600,32.755803,6.210192e-01,10.000000,0.233970
6.700,32.817787,6.186756e-01,10.000000,0.234413
6.800,32.879539,6.163539e-01,10.000000,0.234854
6.900,32.941059,6.140538e-01,10.000000,0.235293
7.000,33.002350,6.117751e-01,10.000000,0.235731
7.100,33.063415,6.095175e-01,10.000000,0.236167
7.200,33.124254,6.072805e-01,10.000000,0.236602
