time,position_um,velocity_um_s,shear_rate,y_normalized
0.000,28.000000,8.035714e-01,1.714286,0.200000
0.100,28.080102,7.984855e-01,1.711016,0.200572
0.200,28.159700,7.934761e-01,1.707767,0.201141
0.300,28.238800,7.885412e-01,1.704539,0.201706
0.400,28.317410,7.836792e-01,1.701330,0.202267
0.500,28.395538,7.788882e-01,1.698141,0.202825
0.600,28.473190,7.741665e-01,1.694972,0.203380
0.700,28.550374,7.695125e-01,1.691821,0.203931
0.800,28.627095,7.649245e-01,1.688690,0.204479
0.900,28.703361,7.604011e-01,1.685577,0.205024
1.000,28.779177,7.559408e-01,1.682483,0.205566
1.100,28.854551,7.515421e-01,1.679406,0.206104
1.200,28.929488,7.472036e-01,1.676347,0.206639
1.300,29.003994,7.429240e-01,1.673306,0.207171
1.400,29.078074,7.387019e-01,1.670283,0.207701
1.500,29.151736,7.345361e-01,1.667276,0.208227
1.600,29.224984,7.304254e-01,1.664286,0.208750
1.700,29.297823,7.263685e-01,1.661313,0.209270
1.800,29.370259,7.223644e-01,1.658357,0.209788
1.900,29.442297,7.184118e-01,1.655416,0.210302
2.000,29.513943,7.145097e-01,1.652492,0.210814
2.100,29.585201,7.106571e-01,1.649584,0.211323
2.200,29.656076,7.068529e-01,1.646691,0.211829
2.300,29.726573,7.030960e-01,1.643813,0.212333
2.400,29.796697,6.993856e-01,1.640951,0.212834
2.500,29.866452,6.957207e-01,1.638104,0.213332
2.600,29.935842,6.921004e-01,1.635272,0.213827
2.700,30.004873,6.885238e-01,1.632454,0.214321
2.800,30.073549,6.849900e-01,1.629651,0.214811
2.900,30.141873,6.814982e-01,1.626862,0.215299
3.000,30.209850,6.780476e-01,1.624088,0.215785
3.100,30.277484,6.746374e-01,1.621327,0.216268
3.200,30.344778,6.712667e-01,1.618580,0.216748
3.300,30.411738,6.679349e-01,1.615847,0.217227
3.400,30.478367,6.646412e-01,1.613128,0.217703
3.500,30.544668,6.613849e-01,1.610422,0.218176
3.600,30.610645,6.581653e-01,1.607729,0.218647
3.700,30.676302,6.549817e-01,1.605049,0.219116
3.800,30.741642,6.518335e-01,1.602382,0.219583
3.900,30.806670,6.487200e-01,1.599728,0.220048
4.000,30.871388,6.456406e-01,1.597086,0.220510
4.100,30.935799,6.425947e-01,1.594457,0.220970
4.200,30.999908,6.395816e-01,1.591841,0.221428
4.300,31.063716,6.366008e-01,1.589236,0.221884
4.400,31.127229,6.336518e-01,1.586644,0.222337
4.500,31.190448,6.307339e-01,1.584063,0.222789
4.600,31.253377,6.278467e-01,1.581495,0.223238
4.700,31.316018,6.249896e-01,1.578938,0.223686
4.800,31.378376,6.221621e-01,1.576393,0.224131
4.900,31.440452,6.193636e-01,1.573859,0.224575
5.000,31.502249,6.165938e-01,1.571337,0.225016
5.100,31.563771,6.138521e-01,1.568826,0.225456
5.200,31.625021,6.111381e-01,1.566326,0.225893
5.300,31.686000,6.084512e-01,1.563837,0.226329
5.400,31.746712,6.057911e-01,1.561359,0.226762
5.500,31.807159,6.031573e-01,1.558891,0.227194
5.600,31.867344,6.005494e-01,1.556435,0.227624
5.700,31.927270,5.979669e-01,1.553989,0.228052
5.800,31.986938,5.954096e-01,1.551554,0.228478
5.900,32.046352,5.928768e-01,1.549128,0.228903
6.000,32.105514,5.903684e-01,1.546714,0.229325
6.100,32.164427,5.878838e-01,1.544309,0.229746
6.200,32.223092,5.854228e-01,1.541915,0.230165
6.300,32.281512,5.829849e-01,1.539530,0.230582
6.400,32.339690,5.805698e-01,1.537156,0.230998
6.500,32.397627,5.781772e-01,1.534791,0.231412
6.600,32.455326,5.758067e-01,1.532436,0.231824
6.700,32.512789,5.734579e-01,1.530090,0.232234
6.800,32.570018,5.711306e-01,1.527754,0.232643
6.900,32.627016,5.688244e-01,1.525428,0.233050
7.000,32.683784,5.665390e-01,1.523111,0.233456
7.100,32.740324,5.642741e-01,1.520803,0.233859
7.200,32.796639,5.620294e-01,1.518505,0.234262
7.300,32.852731,5.598046e-01,1.516215,0.234662
7.400,32.908601,5.575995e-01,1.513935,0.235061
7.500,32.964251,5.554136e-01,1.511663,0.235459
7.600,33.019684,5.532469e-01,1.509401,0.235855
7.700,33.074901,5.510989e-01,1.507147,0.236249
7.800,33.129905,5.489694e-01,1.504902,0.236642
7.900,33.184696,5.468582e-01,1.502665,0.237034
8.000,33.239277,5.447649e-01,1.500438,0.237423
8.100,33.293649,5.426894e-01,1.498218,0.237812
8.200,33.347815,5.406315e-01,1.496008,0.238199
8.300,33.401776,5.385907e-01,1.493805,0.238584
8.400,33.455534,5.365670e-01,1.491611,0.238968
8.500,33.509090,5.345601e-01,1.489425,0.239351
8.600,33.562447,5.325698e-01,1.487247,0.239732
8.700,33.615605,5.305958e-01,1.485077,0.240111
8.800,33.668566,5.286379e-01,1.482916,0.240490
8.900,33.721333,5.266959e-01,1.480762,0.240867
9.000,33.773906,5.247696e-01,1.478616,0.241242
9.100,33.826287,5.228588e-01,1.476478,0.241616
9.200,33.878478,5.209633e-01,1.474348,0.241989
9.300,33.930480,5.190828e-01,1.472225,0.242361
9.400,33.982295,5.172172e-01,1.470110,0.242731
9.500,34.033924,5.153664e-01,1.468003,0.243099
9.600,34.085369,5.135300e-01,1.465903,0.243467
9.700,34.136631,5.117079e-01,1.463811,0.243833
9.800,34.187711,5.099000e-01,1.461726,0.244198
9.900,34.238611,5.081060e-01,1.459649,0.244562
10.000,34.289333,5.063258e-01,1.457578,0.244924
10.100,34.339877,5.045592e-01,1.455515,0.245285
10.200,34.390245,5.028061e-01,1.453459,0.245645
10.300,34.440439,5.010662e-01,1.451411,0.246003
10.400,34.490459,4.993394e-01,1.449369,0.246360
10.500,34.540307,4.976256e-01,1.447334,0.246716
10.600,34.589984,4.959245e-01,1.445307,0.247071
10.700,34.639492,4.942361e-01,1.443286,0.247425
10.800,34.688832,4.925601e-01,1.441272,0.247777
10.900,34.738005,4.908965e-01,1.439265,0.248129
11.000,34.787012,4.892450e-01,1.437265,0.248479
11.100,34.835854,4.876056e-01,1.435271,0.248828
11.200,34.884533,4.859780e-01,1.433284,0.249175
11.300,34.933050,4.843622e-01,1.431304,0.249522
11.400,34.981406,4.827581e-01,1.429330,0.249867
11.500,35.029602,4.811653e-01,1.427363,0.250211
11.600,35.077639,4.795840e-01,1.425402,0.250555
11.700,35.125519,4.780138e-01,1.423448,0.250897
11.800,35.173243,4.764547e-01,1.421500,0.251237
11.900,35.220810,4.749065e-01,1.419559,0.251577
12.000,35.268224,4.733692e-01,1.417624,0.251916
12.100,35.315485,4.718425e-01,1.415695,0.252253
