time,position_um,velocity_um_s,shear_rate,y_normalized
0.000,28.000000,1.076212e+00,10.000000,0.200000
0.100,28.107210,1.068017e+00,10.000000,0.200766
0.200,28.213609,1.059977e+00,10.000000,0.201526
0.300,28.319211,1.052087e+00,10.000000,0.202280
0.400,28.424031,1.044341e+00,10.000000,0.203029
0.500,28.528084,1.036737e+00,10.000000,0.203772
0.600,28.631383,1.029270e+00,10.000000,0.204510
0.700,28.733942,1.021935e+00,10.000000,0.205242
0.800,28.835774,1.014730e+00,10.000000,0.205970
0.900,28.936892,1.007651e+00,10.000000,0.206692
1.000,29.037308,1.000693e+00,10.000000,0.207409
1.100,29.137035,9.938551e-01,10.000000,0.208122
1.200,29.236083,9.871324e-01,10.000000,0.208829
1.300,29.334465,9.805222e-01,10.000000,0.209532
1.400,29.432191,9.740216e-01,10.000000,0.210230
1.500,29.529273,9.676277e-01,10.000000,0.210923
1.600,29.625720,9.613376e-01,10.000000,0.211612
1.700,29.721544,9.551489e-01,10.000000,0.212297
1.800,29.816753,9.490587e-01,10.000000,0.212977
1.900,29.911359,9.430647e-01,10.000000,0.213653
2.000,30.005369,9.371645e-01,10.000000,0.214324
2.100,30.098795,9.313557e-01,10.000000,0.214991
2.200,30.191644,9.256361e-01,10.000000,0.215655
2.300,30.283925,9.200035e-01,10.000000,0.216314
2.400,30.375647,9.144558e-01,10.000000,0.216969
2.500,30.466819,9.089910e-01,10.000000,0.217620
2.600,30.557448,9.036071e-01,10.000000,0.218267
2.700,30.647543,8.983022e-01,10.000000,0.218911
2.800,30.737111,8.930745e-01,10.000000,0.219551
2.900,30.826160,8.879222e-01,10.000000,0.220187
3.000,30.914698,8.828436e-01,10.000000,0.220819
3.100,31.002731,8.778370e-01,10.000000,0.221448
3.200,31.090268,8.729007e-01,10.000000,0.222073
3.300,31.177314,8.680333e-01,10.000000,0.222695
3.400,31.263877,8.632332e-01,10.000000,0.223313
3.500,31.349963,8.584989e-01,10.000000,0.223928
3.600,31.435578,8.538289e-01,10.000000,0.224540
3.700,31.520730,8.492220e-01,10.000000,0.225148
3.800,31.605425,8.446767e-01,10.000000,0.225753
3.900,31.689668,8.401917e-01,10.000000,0.226355
4.000,31.773465,8.357659e-01,10.000000,0.226953
4.100,31.856823,8.313978e-01,10.000000,0.227549
4.200,31.939747,8.270863e-01,10.000000,0.228141
4.300,32.022242,8.228304e-01,10.000000,0.228730
4.400,32.104315,8.186287e-01,10.000000,0.229317
4.500,32.185970,8.144803e-01,10.000000,0.229900
4.600,32.267212,8.103841e-01,10.000000,0.230480
4.700,32.348048,8.063389e-01,10.000000,0.231057
4.800,32.428482,8.023439e-01,10.000000,0.231632
4.900,32.508518,7.983980e-01,10.000000,0.232204
5.000,32.588163,7.945002e-01,10.000000,0.232773
5.100,32.667420,7.906497e-01,10.000000,0.233339
5.200,32.746294,7.868455e-01,10.000000,0.233902
5.300,32.824791,7.830867e-01,10.000000,0.234463
5.400,32.902913,7.793725e-01,10.000000,0.235021
5.500,32.980667,7.757020e-01,10.000000,0.235576
5.600,33.058055,7.720745e-01,10.000000,0.236129
5.700,33.135083,7.684890e-01,10.000000,0.236679
5.800,33.211754,7.649449e-01,10.000000,0.237227
5.900,33.288073,7.614414e-01,10.000000,0.237772
6.000,33.364044,7.579777e-01,10.000000,0.238315
6.100,33.439670,7.545531e-01,10.000000,0.238855
6.200,33.514956,7.511670e-01,10.000000,0.239393
6.300,33.589905,7.478186e-01,10.000000,0.239928
6.400,33.664521,7.445072e-01,10.000000,0.240461
6.500,33.738807,7.412323e-01,10.000000,0.240991
6.600,33.812768,7.379931e-01,10.000000,0.241520
6.700,33.886407,7.347891e-01,10.000000,0.242046
6.800,33.959727,7.316197e-01,10.000000,0.242569
6.900,34.032732,7.284842e-01,10.000000,0.243091
7.000,34.105425,7.253821e-01,10.000000,0.243610
7.100,34.177810,7.223128e-01,10.000000,0.244127
7.200,34.249889,7.192758e-01,10.000000,0.244642
7.300,34.321666,7.162705e-01,10.000000,0.245155
7.400,34.393144,7.132964e-01,10.000000,0.245665
7.500,34.464326,7.103530e-01,10.000000,0.246174
7.600,34.535216,7.074397e-01,10.000000,0.246680
7.700,34.605815,7.045562e-01,10.000000,0.247184
7.800,34.676128,7.017018e-01,10.000000,0.247687
7.900,34.746157,6.988762e-01,10.000000,0.248187
8.000,34.815904,6.960788e-01,10.000000,0.248685
8.100,34.885373,6.933093e-01,10.000000,0.249181
8.200,34.954567,6.905672e-01,10.000000,0.249675
8.300,35.023488,6.878520e-01,10.000000,0.250168
8.400,35.092138,6.851634e-01,10.000000,0.250658
8.500,35.160521,6.825008e-01,10.000000,0.251147
8.600,35.228639,6.798640e-01,10.000000,0.251633
8.700,35.296495,6.772525e-01,10.000000,0.252118
8.800,35.364091,6.746660e-01,10.000000,0.252601
8.900,35.431429,6.721040e-01,10.000000,0.253082
9.000,35.498512,6.695661e-01,10.000000,0.253561
9.100,35.565343,6.670521e-01,10.000000,0.254038
9.200,35.631923,6.645616e-01,10.000000,0.254514
9.300,35.698256,6.620942e-01,10.000000,0.254988
9.400,35.764343,6.596496e-01,10.000000,0.255460
9.500,35.830187,6.572274e-01,10.000000,0.255930
9.600,35.895789,6.548273e-01,10.000000,0.256398
9.700,35.961153,6.524490e-01,10.000000,0.256865
9.800,36.026280,6.500922e-01,10.000000,0.257331
9.900,36.091172,6.477566e-01,10.000000,0.257794
10.000,36.155832,6.454418e-01,10.000000,0.258256
10.100,36.220261,6.431476e-01,10.000000,0.258716
10.200,36.284462,6.408736e-01,10.000000,0.259175
10.300,36.348436,6.386197e-01,10.000000,0.259632
10.400,36.412186,6.363855e-01,10.000000,0.260087
10.500,36.475714,6.341707e-01,10.000000,0.260541
10.600,36.539021,6.319751e-01,10.000000,0.260993
10.700,36.602110,6.297984e-01,10.000000,0.261444
10.800,36.664982,6.276403e-01,10.000000,0.261893
10.900,36.727638,6.255007e-01,10.000000,0.262340
11.000,36.790082,6.233791e-01,10.000000,0.262786
11.100,36.852315,6.212755e-01,10.000000,0.263231
11.200,36.914338,6.191895e-01,10.000000,0.263674
11.300,36.976153,6.171210e-01,10.000000,0.264115
11.400,37.037763,6.150696e-01,10.000000,0.264555
11.500,37.099168,6.130353e-01,10.000000,0.264994
11.600,37.160370,6.110176e-01,10.000000,0.265431
11.700,37.221372,6.090165e-01,10.000000,0.265867
11.800,37.282174,6.070316e-01,10.000000,0.266301
11.900,37.342779,6.050629e-01,10.000000,0.266734
12.000,37.403187,6.031100e-01,10.000000,0.267166
12.100,37.463401,6.011729e-01,10.000000,0.267596
12.200,37.523422,5.992512e-01,10.000000,0.268024
12.300,37.583252,5.973448e-01,10.000000,0.268452
12.400,37.642892,5.954535e-01,10.000000,0.268878
12.500,37.702343,5.935770e-01,10.000000,0.269302
