time,position_um,velocity_um_s,shear_rate,y_normalized
0.000,28.000000,2.152423e+00,10.000000,0.200000
0.100,28.213770,2.119930e+00,10.000000,0.201527
0.200,28.424345,2.088636e+00,10.000000,0.203031
0.300,28.631842,2.058473e+00,10.000000,0.204513
0.400,28.836372,2.029376e+00,10.000000,0.205974
0.500,29.038037,2.001286e+00,10.000000,0.207415
0.600,29.236937,1.974149e+00,10.000000,0.208835
0.700,29.433164,1.947914e+00,10.000000,0.210237
0.800,29.626807,1.922534e+00,10.000000,0.211620
0.900,29.817948,1.897965e+00,10.000000,0.212985
1.000,30.006667,1.874167e+00,10.000000,0.214333
1.100,30.193040,1.851101e+00,10.000000,0.215665
1.200,30.377138,1.828732e+00,10.000000,0.216980
1.300,30.559029,1.807027e+00,10.000000,0.218279
1.400,30.738779,1.785955e+00,10.000000,0.219563
1.500,30.916448,1.765487e+00,10.000000,0.220832
1.600,31.092097,1.745596e+00,10.000000,0.222086
1.700,31.265782,1.726256e+00,10.000000,0.223327
1.800,31.437557,1.707443e+00,10.000000,0.224554
1.900,31.607473,1.689134e+00,10.000000,0.225768
2.000,31.775581,1.671309e+00,10.000000,0.226968
2.100,31.941926,1.653947e+00,10.000000,0.228157
2.200,32.106556,1.637029e+00,10.000000,0.229333
2.300,32.269514,1.620537e+00,10.000000,0.230497
2.400,32.430840,1.604454e+00,10.000000,0.231649
2.500,32.590576,1.588765e+00,10.000000,0.232790
2.600,32.748761,1.573454e+00,10.000000,0.233920
2.700,32.905431,1.558507e+00,10.000000,0.235039
2.800,33.060622,1.543909e+00,10.000000,0.236147
2.900,33.214368,1.529649e+00,10.000000,0.237245
3.000,33.366703,1.515714e+00,10.000000,0.238334
3.100,33.517659,1.502092e+00,10.000000,0.239412
3.200,33.667266,1.488772e+00,10.000000,0.240480
3.300,33.815555,1.475743e+00,10.000000,0.241540
3.400,33.962553,1.462996e+00,10.000000,0.242590
3.500,34.108289,1.450521e+00,10.000000,0.243631
3.600,34.252790,1.438308e+00,10.000000,0.244663
3.700,34.396080,1.426349e+00,10.000000,0.245686
3.800,34.538186,1.414636e+00,10.000000,0.246701
3.900,34.679131,1.403161e+00,10.000000,0.247708
4.000,34.818940,1.391915e+00,10.000000,0.248707
4.100,34.957633,1.380892e+00,10.000000,0.249697
4.200,35.095234,1.370085e+00,10.000000,0.250680
4.300,35.231764,1.359487e+00,10.000000,0.251655
4.400,35.367244,1.349091e+00,10.000000,0.252623
4.500,35.501692,1.338892e+00,10.000000,0.253584
4.600,35.635129,1.328884e+00,10.000000,0.254537
4.700,35.767574,1.319061e+00,10.000000,0.255483
4.800,35.899045,1.309417e+00,10.000000,0.256422
4.900,36.029559,1.299948e+00,10.000000,0.257354
5.000,36.159134,1.290648e+00,10.000000,0.258280
5.100,36.287786,1.281512e+00,10.000000,0.259198
5.200,36.415532,1.272537e+00,10.000000,0.260111
5.300,36.542388,1.263717e+00,10.000000,0.261017
5.400,36.668368,1.255049e+00,10.000000,0.261917
5.500,36.793489,1.246527e+00,10.000000,0.262811
5.600,36.917763,1.238149e+00,10.000000,0.263698
5.700,37.041206,1.229911e+00,10.000000,0.264580
5.800,37.163832,1.221808e+00,10.000000,0.265456
5.900,37.285653,1.213837e+00,10.000000,0.266326
6.000,37.406682,1.205995e+00,10.000000,0.267191
6.100,37.526933,1.198278e+00,10.000000,0.268050
6.200,37.646419,1.190684e+00,10.000000,0.268903
6.300,37.765150,1.183209e+00,10.000000,0.269751
6.400,37.883138,1.175850e+00,10.000000,0.270594
6.500,38.000396,1.168604e+00,10.000000,0.271431
6.600,38.116935,1.161470e+00,10.000000,0.272264
